"","Cena","Stanje","Marka","Tip","Model","Godiste","Kilometraza","Kubikaza","kW","KS","Broj.cilindara","Menjac","Boja","Registracija","Poreklo","Ostecenje"
"3629",3000,"Polovan motor","Suzuki","Scooter","Burgman AN400Z",2007,24500,400,25,34,NA," Automatski"," Siva"," 07.2017.","Domace tablice"," Nije ostecen"
"3638",2500,"Polovan motor","Suzuki","Sport / Super sport","GSXR",2002,58000,1000,120,163,4," Manuelni"," Plava"," 04.2017.","Domace tablice"," Nije ostecen"
"3653",2000,"Polovan motor","Suzuki","Touring","GSF1200S Bandit 1200",1996,53500,1157,72,98,4," Manuelni"," Crvena"," Nije registrovan","Domace tablice"," Nije ostecen"
"3656",4450,"Polovan motor","Suzuki","Chopper / Cruiser","boulevard 800 /intruder/",2006,3753,805,39,53,4," Manuelni"," Crna"," Nije registrovan"," Na ime kupca"," Nije ostecen"
"3667",3200,"Polovan motor","Suzuki","Naked","Bandit",2007,20000,650,57,77,NA," Manuelni"," Crna"," 04.2017.","Domace tablice"," Nije ostecen"
"3673",850,"Polovan motor","Suzuki","Naked","gs40x",1981,83000,400,20,27,2," Manuelni","Zuta"," 08.2017.","Domace tablice"," Nije ostecen"
"3679",950,"Polovan motor","Suzuki","Enduro / Cross","TS",1993,20000,125,16,22,1," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"3689",4800,"Polovan motor","Suzuki","Sport / Super sport","GSXR 750 K7",2007,30000,750,110,150,4," Manuelni"," Crna"," 05.2017.","Domace tablice"," Nije ostecen"
"3705",2000,"Polovan motor","Suzuki","Sport / Super sport","Gsxr srad",2000,60000,600,85,116,4," Manuelni"," Plava"," Nije registrovan","Domace tablice"," Nije ostecen"
"3707",800,"Polovan motor","Suzuki","Sport / Super sport","GSXR",1992,130000,1100,103,140,NA," Manuelni"," Plava"," Nije registrovan","Domace tablice"," ostecen - nije u voznom stanju"
"3721",1900,"Polovan motor","Suzuki","Naked","Bandit 600s",1998,56000,599,25,34,4," Manuelni"," Tirkiz"," Nije registrovan","Domace tablice"," Nije ostecen"
"3733",1600,"Polovan motor","Suzuki","Naked","GSF 600 Bandit",1996,98000,599,54,73,4," Manuelni"," Crvena"," 08.2017.","Domace tablice"," Nije ostecen"
"3736",1050,"Polovan motor","Suzuki","Scooter","Burgman",2002,53700,250,17,23,NA," Automatski"," Teget"," Nije registrovan","Domace tablice"," Nije ostecen"
"3744",2600,"Polovan motor","Suzuki","Naked","Bandit GSF600",2002,32000,600,57,77,4," Manuelni"," Crna"," 07.2017.","Domace tablice"," Nije ostecen"
"3751",3500,"Polovan motor","Suzuki","Chopper / Cruiser","Intruder 600",1996,22971,598,33,45,2," Manuelni"," Crna"," 08.2016.","Domace tablice"," Nije ostecen"
"3763",1550,"Polovan motor","Suzuki","Sport / Super sport","GSX F 600",2001,36000,600,59,80,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"3774",685,"Polovan motor","Suzuki","Enduro / Cross","TSR",1996,10,125,21,29,1," Manuelni","Zuta"," Nije registrovan","Domace tablice"," Nije ostecen"
"3778",5900,"Polovan motor","Suzuki","Sport / Super sport","GSX R 1000 K 8",2009,22000,999,136,185,4," Manuelni"," Crna"," Nije registrovan","Domace tablice"," Nije ostecen"
"3780",3100,"Polovan motor","Suzuki","Scooter","Burgman",2008,29000,400,39,53,2," Automatski"," Crna"," 08.2017.","Domace tablice"," Nije ostecen"
"3784",120,"Polovan motor","Suzuki","Mini bike (pocket bike)","r1",2000,100,50,2,3,1," Automatski"," Plava"," Trajno registrovan","Domace tablice"," Nije ostecen"
"3790",1300,"Polovan motor","Suzuki","Enduro / Cross","dr big",1994,38000,650,36,49,1," Manuelni"," Crvena"," 07.2017.","Domace tablice"," Nije ostecen"
"3806",800,"Polovan motor","Suzuki","Naked","750",1991,67000,750,36,49,4," Manuelni"," Plava"," 04.2017.","Domace tablice"," Nije ostecen"
"3808",6350,"Polovan motor","Suzuki","Sport / Super sport","Gsxr 1000 k8",2009,39000,1000,134,182,4," Manuelni"," Plava"," 07.2017.","Domace tablice"," Nije ostecen"
