2.999 €,Polovan motor,Yamaha,Sport / Super sport,R6,2002. godište,35.000 km,Kubikaža (cm3) 600,Snaga (kW/KS) 88/120,Broj cilindara 4,Menjač Manuelni,Boja Crvena,Registrovan do 04.2017.,Poreklo vozila Domaće tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
15.800 €,Polovan motor,BMW,Touring,K1600 GT,2013. godište,39.000 km,Kubikaža (cm3) 1600,Snaga (kW/KS) 118/160,Broj cilindara 6,Menjač Manuelni,Boja Bela,Registrovan do 01.2018.,Poreklo vozila Domaće tablice,Tip hlađenja motora Vodeno hlađenje,Oštećenje Nije oštećen
2.679 €,Nov motor,Vespa,Scooter,Primavera,2016. godište,0 km,Kubikaža (cm3) 49,Snaga (kW/KS) 4/5,Broj cilindara 1,nepoznato,nepoznato,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
600 €,Nov motor,Yamaha,Enduro / Cross,REPLICA 125cc 4takt,2017. godište,0 km,Kubikaža (cm3) 200,Snaga (kW/KS) 17/23,Broj cilindara 1,Menjač Manuelni,nepoznato,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
3.900 €,Polovan motor,Suzuki,Moped,K 5,2005. godište,24.000 km,Kubikaža (cm3) 750,Snaga (kW/KS) 117/159,Broj cilindara 1,Menjač Manuelni,Boja Crna,Registrovan do 05.2017.,Poreklo vozila Domaće tablice,nepoznato,Oštećenje Nije oštećen
1.750 €,Polovan motor,Yamaha,Enduro / Cross,TTR 250,1998. godište,28.753 km,Kubikaža (cm3) 250,Snaga (kW/KS) 24/32,Broj cilindara 1,Menjač Manuelni,Boja Bela,Registrovan do Nije registrovan,Poreklo vozila Domaće tablice,nepoznato,Oštećenje Nije oštećen
3.350 €,Polovan motor,Yamaha,Enduro / Cross,WR450 F,2009. godište,650 km,Kubikaža (cm3) 450,Snaga (kW/KS) 45/61,Broj cilindara 1,Menjač Manuelni,Boja Plava,Registrovan do Nije registrovan,Poreklo vozila Strane tablice,nepoznato,Oštećenje Nije oštećen
1.200 €,Polovan motor,BMW,Enduro / Cross,f 650,1994. godište,32.000 km,Kubikaža (cm3) 650,Snaga (kW/KS) 35/48,nepoznato,nepoznato,nepoznato,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,nepoznato,Oštećenje Nije oštećen
6.900 €,Polovan motor,Suzuki,Touring,V STROM 650,2011. godište,8.900 km,Kubikaža (cm3) 650,Snaga (kW/KS) 50/68,Broj cilindara 2,Menjač Manuelni,Boja Crna,Registrovan do Nije registrovan,Poreklo vozila Domaće tablice,nepoznato,Oštećenje Nije oštećen
1.450 €,Nov motor,Peugeot,Scooter,Kisbee,2016. godište,0 km,Kubikaža (cm3) 49,Snaga (kW/KS) 3/4,nepoznato,nepoznato,Boja Smeđa,Registrovan do Nije registrovan,Poreklo vozila Na ime kupca,Tip hlađenja motora Vazdušno hlađenje,Oštećenje Nije oštećen
