Cena,Stanje,Marka,Tip,Model,Godiste,Kilometraza,Kubikaza,kW,KS,Broj cilindara,Menjac,Boja,Registracija,Poreklo,Ostecenje
1500,Polovan motor,Peugeot,Scooter,Satelis Compressor,2008,22812,125,11,15,1, Automatski, Crna, Nije registrovan,Domace tablice, Nije ostecen
2000,Polovan motor,Honda,Sport / Super sport,CBR 600F,1999,46264,599,78,106,4, Manuelni, Crvena, Nije registrovan,Domace tablice, Nije ostecen
600,Nov motor,Yamaha,Enduro / Cross,REPLICA 125cc 4takt,2017,0,200,17,23,1, Manuelni,nepoznato, Nije registrovan, Na ime kupca, Nije ostecen
3800,Polovan motor,Yamaha,Naked,FZ 6N,2007,18431,600,57,77,4, Manuelni, Siva, 07.2017.,Domace tablice, Nije ostecen
7950,Polovan motor,BMW,Touring,F 800 GT NOV,2013,6000,800,66,90,2, Manuelni, Narandžasta, Nije registrovan, Na ime kupca, Nije ostecen
3300,Polovan motor,Kawasaki,Touring,ZZR 1200,2002,59814,1165,112,152,4, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
4800,Polovan motor,Honda,Touring,VFR 800 V tec,2008,81573,782,80,109,4, Manuelni, Siva, Nije registrovan, Na ime kupca, Nije ostecen
6500,Polovan motor,BMW,Touring,K1200 S,2006,59342,1157,123,167,4, Manuelni, Plava, Nije registrovan, Na ime kupca, Nije ostecen
4550,Polovan motor,Honda,Chopper / Cruiser,VT 750 SHADOW CLASSIC,2004,30000,749,33,45,2, Manuelni, Crna, Nije registrovan, Na ime kupca, Nije ostecen
780,Polovan motor,Tomos,Moped,APN 6S,2009,3500,49,4,5,1, Manuelni, Crvena, 06.2017.,Domace tablice, Nije ostecen
7800,Polovan motor,Yamaha,Scooter,T MAX 530,2012,8300,530,34,46,nepoznato, Automatski, Bela, Nije registrovan, Na ime kupca, Nije ostecen
1000,Polovan motor,Malaguti,Scooter,Phantom F12,2011,8500,49,3,4,1, Automatski, Teget, Nije registrovan, Na ime kupca, Nije ostecen
